Tweet,HS,Abusive,HS_Individual,HS_Group,HS_Religion,HS_Race,HS_Physical,HS_Gender,HS_Other,HS_Weak,HS_Moderate,HS_Strong,PS
"\xe2\x80\x9cDaripada suapan terakhir makanan selezat apapun atau diejek gendut, aku lebih tidak bisa memaafkanmu kalau kau menghina sahabatku !!!!!\xe2\x80\x9d (Chouji Akimichi)'",0,0,0,0,0,0,0,0,0,0,0,0,1
USER Korupsi di era reformasi yg melakukan ya antek antek Orba juga..',0,0,0,0,0,0,0,0,0,0,0,0,1
"USER USER USER USER USER USER Ini pula alasan mengapa Gereja Katolik tdk mudah disitir seenak udel umatnya.\nSy ingat, pernah di sebuah Gereja Katolik di Flores, sekelompok umat diusir dr dlm Gereja karena keteribata",0,0,0,0,0,0,0,0,0,0,0,0,1
"Mereka orang-orang musyrik menjadikan jin sebagai sekutu-sekutu Allah, padahal Allah yang menciptakan jin-jin itu (QS 6;100)",0,0,0,0,0,0,0,0,0,0,0,0,1
"USER Untung temen gua di kampus sama sama cari budget makan di bawah 10k :'), warung langganan\n1. Warung SD 4 nasi ayam saus padang ples es teh cuma 9500\n2. Campur Sari rata rata 10kk\nSekalinya hedon di akhir semester pas udah pada mau balik ka",0,0,0,0,0,0,0,0,0,0,0,0,1
Rohingya Muslim Rescued At Sea Off Sumatra - Indonesia Expat,0,0,0,0,0,0,0,0,0,0,0,0,1
USER USER USER Masa aku dibilang buaya? : (',0,0,0,0,0,0,0,0,0,0,0,0,1
USER aku terlalu sipit jadi nda kebaca itunya',0,0,0,0,0,0,0,0,0,0,0,0,1
Team Kagum Hotels lagi di acara Turnament Golf Gubernur Cup 2018 @ Bandung Giri Gahana Golf &amp; Resort ð???,0,0,0,0,0,0,0,0,0,0,0,0,1
"USER USER USER USER USER USER USER Bahkan anak dan istri nya pun tidak dpat di tolong, karena telah melupakan Tuhan dan menuhankan saint dan tehnology. Begitu pun skrng yg terjadi di sebagian bangsa e",0,0,0,0,0,0,0,0,0,0,0,0,1
"#PojokSatu Polisi Masih Selidiki Kasus Presiden #PKS, Punya Kemungkinan Tak Ada Unsur Pidana",0,0,0,0,0,0,0,0,0,0,0,0,1
USER USER Untung presidennya bapak Jokowi !! ; Mungkin kalau bukan beliau pasti nih bandara sudah mangkrak di tengah jalan. ; Terimakasih bapak presiden ð???ð???; Salam 2 priode,0,0,0,0,0,0,0,0,0,0,0,0,1
USER USER Padahall sdh dipake juga 1000 trilyun buat nyicil hutang2 rejim sebelumnya.',0,0,0,0,0,0,0,0,0,0,0,0,1
"Mendebat istilah Islam Nusantara nanti saya bisa dituding pro khilafah, HTI, atau ISIS. Sebaliknya mendukung Islam Nusantara saya bisa dicap antek-antek JIL, pro Yahudi, bid'ah dan sesat. Ya sudahlah saya cukup deklarasi bahwa saya orang Indonesia dan be",0,0,0,0,0,0,0,0,0,0,0,0,1
"#ArahBaruIndonesia adalah menjadikan Indonesia menjadikan kekuatan ke-5 dunia di bidang: Ekonomi, Teknologi, dan Militer. Dari ketiga bidang tersebut, minimal Indonesia menempati peringkat ke-5 dunia. Mari dukung USER menjadi Presiden RI 2019-2024.",0,0,0,0,0,0,0,0,0,0,0,0,1
USER USER Tolak bantuan aseng asing kata mereka :))',0,0,0,0,0,0,0,0,0,0,0,0,1
Presiden akan 'paksakan' penerapan 'Online Single Submission' - ANTARA News Jambi,0,0,0,0,0,0,0,0,0,0,0,0,1
USER USER Politik itu SADIS dan KEJAM karena suka mengancam kalo tdk dituruti. \xf0\x9f\x98\x86\xf0\x9f\x98\x86\xf0\x9f\x98\x86',0,0,0,0,0,0,0,0,0,0,0,0,1
USER USER Saya pastikan rezim ini akan memberi apresiasi dibawah kewajaran.',0,0,0,0,0,0,0,0,0,0,0,0,1
"USER GAK USAH LAH DIKIRIM, MASA HINA YANG BIKIN JATUH CINTA TAPI BARU NYADAR KENAPA KESEMSEM WAKTU HINA BEGITU'",0,0,0,0,0,0,0,0,0,0,0,0,1
"Wilujeng Enjing..; Hayu ah bari ngopi nonton seni budaya sunda ""wayang golek""; Dimana wae anu hadir..?",0,0,0,0,0,0,0,0,0,0,0,0,1
U-Kwon beragama kristen',0,0,0,0,0,0,0,0,0,0,0,0,1
Bertaubat dan jadilah orang asing. Sesungguhnya beruntunglah jadi orang yang asing kerana agama dan Rabb.',0,0,0,0,0,0,0,0,0,0,0,0,1
"USER USER USER USER USER Bro aku orang biasa bukhan antek antek ya , walah walah ud emosi ya bos ud minum air putih bos biar adem otak anda'",0,0,0,0,0,0,0,0,0,0,0,0,1
"Namun, rezim Soeharto memberi izin perluasan hingga 2,5 juta hektare pada 1989, lewat kontrak anyar. \n#Freeport51'",0,0,0,0,0,0,0,0,0,0,0,0,1
